,Data,Tags
35,"oxford beats cambridge in annual boat race oxford won the annual university boat race on saturday, upsetting defending champion cambridge by about four lengths on the river thames in a competition dating to 1829.",sport
36,european discomfort grows about bin laden killing european happiness with the death of osama bin laden was tempered on wednesday by details showing he was unarmed when shot dead and qualms about whether torture of prisoners helped u.s. forces track him down.,world
37,"the french diet you've never heard of pierre dukan has been called the dr. atkins of france, and the original dukan diet book sold 3.5 million copies in french and has been translated into 14 languages. but most americans have never heard of him.",health
38,"expedia plans to split into two tripadvisor would become a separate, publicly traded company under the plan.",business
39,"in syria, demonstrations are few and brief syrians have recently engaged in a few public demonstrations, but the government clamped down immediately and fiercely",world
40,"qatar quits effort to mediate end to yemen crisis qatar has pulled out of the effort to mediate an end to yemen's political crisis, blaming the country's embattled president for the impasse.",world
41,arizona governor rejects bid to loosen gun rules the governor also rejected a controversial bill that would have required presidential candidates to produce proof of citizenship.,us
42,costco reports 6% increase in profit rising sales and membership fees at the warehouse club outweighed higher costs for commodities and declining profit margins.,business
43,"special report: : find a sponsor to pay for that m.b.a. while most students take out loans and scholarships, dip into savings or ask parents for help to pay for an m.b.a., by far the best deal is having a current employer pay the bills.",world
44,"this land: losing everything, except what really matters in cottondale, ala., near tuscaloosa, a tornado destroyed the soper family's house but spared their lives.",us
45,"sports of the times: burress will soon be free to redefine himself with plaxico burress's release from prison on monday, the immediate questions focus on where, and how successfully, he will resume his n.f.l. career.",sport
46,"analysis: nadal shows why he is the king of clay the reports of rafael nadal's demise are exaggerated, as he showed in wednesday's straight-sets dismissal of robin soderling.",sport
47,"voting begins in singapore polls singaporeans began voting on saturday in the most hotly contested parliamentary election since independence, although analysts say the ruling people's action party (pap) is almost certain to be returned to power in the wealthy city-state.",world
48,"arab league delays summit by year to march 2012 an arab league summit originally planned for march this year has been delayed by 12 months at the request of its host, iraq, arab league secretary-general amr moussa told reuters on thursday.",world
49,"new police presence is hard to miss amid dodger blue after an assault outside dodger stadium left a giants fan in a coma, team officials and the los angeles police chief delivered on their promise of a 'sea of blue' response.",sport
50,"elderly israeli tycoon in iran scandal dies israeli shipping mogul sammy ofer, whose business empire is at the center of a scandal over trade with iran, has died after a long illness, a family representative said on friday.",world
51,"gallery: jack black, angelina jolie in 'kung fu panda 2' together again, jack black and angelina jolie co-star in 'kung fu panda 2.' they provide the voices for ""master po"" and ""tigress"" in the dreamworks ...",entertainment
52,"ubs committed to integrated bank, including ib swiss bank ubs  is committed to its integrated business model, including its investment bank.",business
53,djokovic and lopez reach serbia open final top seed novak djokovic reached the serbia open final without hitting a ball on saturday after fellow serb janko tipsarevic pulled out of their semi-final with a thigh injury.,sport
54,pirates take ucla pitcher cole with first pick of draft hard-throwing pitcher gerrit cole of ucla was taken by the pittsburgh pirates as top pick of major league baseball's first-year player draft monday.,sport
55,"at his rape trial, new york city officer says he's a gentleman a new york city police officer accused of raping a woman testified on wednesday that he did not tell his partner about her accusations because he's a discrete gentleman.",us
56,online mapping shows potential to transform relief efforts a new report says that online mapping to aid humanitarian services requires better coordination and communication between volunteers and agencies.,business
57,"""book of mormon"" leads with 14 tony nominations ""the book of mormon,"" a musical comedy skewering many classes of people, was nominated for 14 tony awards on tuesday, potentially making it the most celebrated broadway show since ""the producers"" won 12 of 15 nominations in 2001.",entertainment
58,"amazon, labels to meet for locker talks: sources amazon.com inc is due to meet with music label executives on thursday to hash out deals over the online retailer's controversial cloud-based media locker service that has sparked a music business uproar.",sci_tech
59,"braves' luis salazar returns to camp after losing eye atlanta braves minor-league manager luis salazar has returned to camp, two weeks after being struck in the face by a foul ball and losing his ...",sport
60,"attacks on media intense in middle east unrest journalists have been suppressed in popular uprisings in the middle east and north africa in more than 500 attacks, some of them deadly, according to a media rights watchdog.",world
61,"""book of mormon"" leads with 14 tony nominations ""the book of mormon,"" a musical comedy skewering many classes of people, was nominated for 14 tony awards on tuesday, potentially making it the most celebrated broadway show since ""the producers"" won 12 of 15 nominations in 2001.",entertainment
62,"square feet: historic city at odds with its popularity as cruise port plans to open a new cruise ship terminal has drawn opposition from residents in charleston, s.c., who are fearful that too many visitors will overwhelm the city's cultivated charm.",business
63,greek policemen suspended in brutality probe three greek policemen were suspended in a brutality investigation on thursday and thousands marched to parliament to protest against the serious injury of a demonstrator during a strike protest a day before.,world
64,"japan nuke workers risk their lives, garner nation's respect volunteer force of plant workers tries amid high levels of unseen radiation to keep the plant's reactors from melting down.",world
65,lincicome and lewis set red-hot pace at nabisco searing heat posed few problems for brittany lincicome as she charged into a share of the first-round lead with fellow american stacy lewis at the kraft nabisco championship on thursday.,sport
66,"owners win delay in case, keeping n.f.l. shut the decision is a victory for owners in a legal battle with players, and means the league will remain closed.",sport
67,"foreclosures may have crested, but recovery's slow a decline in new problem loans may signal a receding in 5-year foreclosure wave",business
68,mpaa's dodd confident box office will rebound he says movies must be better to draw bigger audiences.,entertainment
69,gadhafi supporters rally in libyan capital libyan leader moammar gadhafi's forces intensified their campaign to take strategic heights in a western mountain range and targeted a road that ...,world
70,playbook prices announced the wi-fi-only version of r.i.m.'s tablet computer will match apple's ipad in price and storage.,business
71,"australia's economy contracts most in 20 years annual growth in gross domestic product slowed to 1 percent, down from 2.7 percent. but the outlook is positive, thanks to a strong mining sector and the likely rebound after disasters at home and abroad.",business
72,pakistani rape victim fears silence after acquittal a pakistani woman who was gang-raped and became a human rights campaigner says she worries other women will not speak out after pakistan's highest court upheld her alleged attackers' acquittals.,world
73,donte' stallworth tweets support for same-sex marriage wide receiver donte' stallworth used his twitter account tuesday morning to back same-sex marriage.,sport
74,"kremlin head wants new nuclear rules post-chernobyl russian president dmitry medvedev, speaking at the site of the chernobyl nuclear disaster in ukraine, called on tuesday for new world rules to be drawn up on safety at nuclear plants.",world
75,"the lede: march 13 updates on earthquake aftermath in japan on sunday, the lede continues to supplement reporting from our colleagues in japan on the aftermath of the devastating earthquake and tsunami that struck the country on friday.",world
76,what's the timeline for u.s. health law? many deadlines for implementing the law championed by president barack obama to expand health insurance to roughly 30 million americans are fast approaching.,health
77,"juniors, start your essays ""it's no mean feat to produce a powerful essay on a highly personal subject,"" the author alan gelb writes. ""but the good news is that we all have stories within us that deserve to be told. in the quieter, less pressured time of summer, those stories stand a better chance of coming into their own.""",us
78,"on baseball: the giants start over, adjusting to the glare the giants began the defense of their first west coast championship under crisp blue skies at the home of their oldest rivals.",sport
79,"miscues cost louisville the chance to play spoiler a few blocks from broadway, louisville has been cast in the role of spoiler recently at the big east tournament. and with connecticut becoming the toast of the town over the past week, the cardinals found themselves a part of a familiar story line.",sport
80,"a plea to elite colleges for socioeconomic diversity ""despite progress on diversity,'' david leonhardt writes in wednesday's times, ""campuses tilt to the affluent.""",us
81,t-mobile loses record number of contract customers results could pose challenge for regulators pondering at&amp;t takeover,sci_tech
82,"wednesday's forecast: cold, stormy for northwest, rockies a strong and cold pacific system drops south along the west coast on wednesday.",us
83,"under-fire nfl coaches association head defends stance on thursday, as the number of coaching staffs distancing themselves from the amicus brief filed by the nfl coaches association last week with ...",sport
84,"gasoline demand dips even as cost falls: mastercard retail gasoline demand fell last week versus a year earlier, as prices dropped for a second straight week but stayed above 2010 levels, a report by mastercard advisors' spendingpulse showed on tuesday.",business
85,"poll: college students get hard lessons in finance in these tight times, college students are getting a lesson in economics no matter what their major. students say money influences everything ...",health
86,"william craig, politician in northern ireland, is dead at 86 mr. craig surged to international attention in the 1970s as the leader of the ulster vanguard, a right-wing umbrella group for protestant partisans opposed to irish nationalism.",world
87,calpers drops medco as drug manager calfornia's retirement system drops medco as its pharmacy benefit manager in wake of concerns over how the company won the initial contract.,health
88,"ufc looking to buy part of g4 channel comcast has been in negotiations with the ultimate fighting championship, which wants to expand its television footprint.",business
89,"u.n. chief ban hails bin laden death as ""watershed"" u.n. secretary-general ban ki-moon on monday hailed osama bin laden's death as a key turning point in the world's struggle against terrorism.",world
90,"in baltimore, cano hits second to almost none robinson cano took the field saturday with a .376 lifetime average at camden yards, surpassed only by ichiro suzuki's .388.",sport
91,"qaddafi and his forces warned on war crimes the international criminal court prosecutor warned col. muammar el-qaddafi that if he attacked the eastern city that is the rebels' base or any other towns, he would be committing war crimes.",world
92,"official death toll from japan quake & tsunami tops 9,000: kyodo the official death toll from the devastating earthquake and tsunami that hit japan earlier in the month has now exceeded 9,000, kyodo news agency quoted the national police as saying on tuesday.",world
93,editorial: the g-8's self-serving math the g-8 seems determined to fudge the numbers rather than admit to a broken promise.,world
94,"special report: sony stumbles: did stringer's makeover fail? had sony stuck with the airboard portable computer it launched in 2000, satoru maeda rather than apple's steve jobs might have been feted as the creator of tablet pcs.",sci_tech
95,roundup review: four new food/travel titles four new books take you to spots around the world  and into the world of chocolate.,entertainment
96,"probiotic yogurt no help for kids' constipation a yogurt aimed at easing digestion with the help of ""good"" bacteria may not be much help for children's chronic constipation, a new study suggests.",health
97,"nfl imposes 12 percent pay cut on league employees the nfl has reduced salaries of its employees by 12 percent according to newsday's bob glauber, who added that the slashing of pay would increase ...",sport
98,"olympic champion wanjiru dies after fall kenyan olympic marathon champion samuel wanjiru plunged to his death from the first-floor balcony of his home after the athlete's wife found him in bed with another woman, police told reuters.",sport
99,"cosmonaut: russia needs space innovation now russia has done virtually nothing to design a replacement to the 43-year old soyuz spacecraft, cosmonaut says.",sci_tech
